,conversation,power
61,"A: Yeah.
      Yeah.
      Right.
      Um.
B: Mm-hmm.
       Yeah, I think when  w- you - you could do it in  this  way that you say, if you - if I'm -
A: you have somehow a noise estimate,
       Mm-hmm.
B: and, if you say I'm - I'm - with my envelope I'm close to this noise estimate,
A: then you have a bad signal-to-noise ratio and then you - you would like to have a stronger smoothing.
      Yeah.
B: Mm-hmm.
      So you could - you could
",B
62,"A: Uh, the training set, well,
B: some kind of answer. We can, we can tell which training set gives the best result,
       but
      we don't know exactly why.
       Uh.
A: Uh, so.
B: Right, I mean the multi-English
A: so far is - is the best.
      Yeah.
B: ""Multi- multi-English"" just means ""TIMIT"", right?
",B
63,"A: then we get a  win  by having  discriminant    training.
B: When we train on something that's quite  different,
      Mm-hmm.
A: we have a potential to have some  problems.
B: And, um,  if  we get something that  helps  us when it's somewhat  similar,
      and doesn't  hurt  us too  much  when it - when it's quite different,
      Yeah.
A: that's maybe not so  bad.
B: So the question is, if you took the  same  combination,
      Mmm.
",A
64,"A: Yeah, but - but what she's saying
B: is, which is right, is  le-
      I mean, let's start with the - Before we get complicated,
      let's start with the  most   basic  wh- thing,
      which is   we're  arguing
      that if you take energy -
      uh if you  look  at the  energy,
      that, when two people are speaking at the same time, usually
      there'll be  more  energy than when one is right?
A: Yeah.
      That's - that sort of hypothesis. And the first way you'd look at that,
B: That's right.
A: uh s-
B: she's, you know, absolutely right, is that you would
      just take a look at the  distribution  of those two  things,
      Yeah.
",A
65,"A: I understand that eh you - you mean eh to - to study the alteration
      between the - the tracking of the pitch eh if we compare the overlapping zone with a speaker zone.
      I- if you have two - if you have two - if you have  uh
B: in the co- in the  context.
A: two
B: people speaking
      Yeah.
A: uh  and
B: there's an overlap, then - I mean the first thing is that there should be a mixture of harmonics
      Mm-hmm.
",A
66,"A: I - whi- which is sort of what - what we see  here,  which is sort of the Vista, Schema, Source, Path, Goal, whatever. This will
B: Yeah.
A: Yeah.
      um be um a job to find ways of writing down
B: Image schema, X_schema, constructions, in some - some form,
      and have this be in a - in a - in the content, loosely called ""Constructicon"".
      And the  rules  we want to throw away  completely.
      And um - and here is exactly where what's gonna be replaced with our Bayes-net, which is exactly getting the input feeding into here.  This  decides
      whether it's an- whether action - the - the Enter, the Vista,
      or the whatever
      Uh, "" approach "", you called it, I think  this  time.
A: uh
B: Approach um construction should be activated,
      That's what you  said  - Yeah, that's fine.
",B
67,"A: So this is uh what's happening. Then Sunil is uh uh uh
B: asked me f- for one month's vacation
      and since he did not take any vacation for two years, I had no - I didn't have heart to tell him no.
A: So he's in India.
B: Wow.
A: And uh -
B: Is he getting married or something?
",A
68,"A: Uh, it's the V_A_D plus the baseline actually. I'm talking about the -
      the M_F_C_C plus I do a frame dropping on it. So that's like - the word error rate is like four point three.
      Four point three.
B: Like -
A: Ten point seven.
      What's ten point seven?
B: It's a medium misma- O_K, sorry. There's a well ma- well matched, medium mismatched, and a high matched. So I don't have the - like the -
A: Ah.
B: Yeah.
      O_K, four point three, ten point seven, and -
      So -
",A
69,"A: and only start the re- recursion after the twenty-five -  twenty-fifth frame.
      But, well it's similar.
       So
       uh I retrained  the networks with  these - well, the - the - the networks are retaining with these new  features.
      Mm-hmm.
B: And, yeah.
A: O_K.
B: So basically what I expect is that
A: these numbers will a little bit go down but
       perhaps not - not so much
       because  I think the neural networks learn perhaps
      Right.
B: to -
",A
70,"A: First-order  effects. And it  may  help to do the  variance.  O_K. O_K.
B: because, again, if you - if you're trying to distinguish between E_ and B_
A: Mm-hmm.
B: if it just so  happens  that the E_'s  were a more - you know, were recorded when - when the energy was - was - was larger or something, or the  variation  in it was larger,
A: Mm-hmm. Mm-hmm.
B: Mm-hmm.
      uh than with the B_'s, then this will be - give you some - some bias. So the -
",B
71,"A: And this tile -
B: Uh, in this tile appears, like, the harmonics if you have a voiced sound, because it's - it's the F_T_T bins. And when you take the m- the minima of - of these - this tile,
      when you don't have speech, these minima will give you some noise level estimate,
      If you have voiced speech, these minima will  still  give you some noise estimate because
      the minima are between the harmonics.
      And - If you have other - other kind of speech sounds then it's not the case, but if the time frame is long enough,
      uh, like s- five hundred milliseconds seems to be long enough,  you still have portions which, uh, are very close - whi- which minima are very close to the noise energy.
      I'm confused. You said five hundred milliseconds but you said sixty-four milliseconds. Which is which? What?
A: Mmm?
B: Sixty-four milliseconds is to compute the F_F_T, uh, bins. The - the F_F_T.
      Yeah, yeah.
A: Um, actually it's better to use sixty-four milliseconds because, um, if you use thirty milliseconds, then, uh, because of the - this short windowing and at low pitch,
B: uh, sounds,  the harmonics are not, wha- uh, correctly separated.
      Mm-hmm.
",B
72,"A: much  as you've  plotted  them  here,
B: You know, but just - but just -
      Yeah.
A: just uh do it -
B: Well in this case you have  three.
      You have the  silence,  and that - that's fine.
      Yeah.
A: So,
B: uh with three colors or three shades or whatever,
      just - just look at those distributions.
      Yeah.
",A
73,"A: after  that  or  before  that.
      O_K, fine.
B: And, um,
      if it's useful we can probably arrange for you to drop by and visit either at Heidelberg or
      at the German A_I center,
      while you're in - in the neighborhood.
      Right.
A: Yeah be- uh actu- actually
      I'm invited to do some consulting with a bank in Geneva which has
      Yeah. Yep.
B: an affiliation with a  research  institute in  Geneva,  which I  forgot  the  name  of.
A: E- o- do y- Well, we- we're connected to
B: Yeah.
",A
74,"A: putting one single K_L_T at the end.
B: Yeah, I mean that would be pretty
A: low maintenance to try it.
      Yeah.
B: Uh if you can fit it in.
A: Mm-hmm.
B: Oh I have - yeah I do have one other piece of information which uh
",B
75,"A: Yeah.
      In some way - I mean, we derive that all the time. In some ways it's really not  a bad - bad thing to do because it tells you in fact how your adjustments at the very low level affect the -
B: Mm-hmm.
A: the final goal.
B: Mm-hmm.
A: Um, so maybe there's a way to even put that in in a much more automatic way, where you take, you know, something about the error at the level of the word or some other - it could be syllable - but in some large unit,
B: Right.
",A
76,"A: Yeah, for  this  stuff I don't think we're
B: quite up to that.
      I mean, we're still so much in development. We want to have just the insiders.
      Mm-hmm.
A: Yeah, yeah, yeah.
      Oh, I wasn't suggesting for this. I'm
      thinking of the Meeting Recorder  stuff but.
      Yeah.
B: Yeah. O_K. Cool.
A: Yeah.
B: So, uh -
      What's new?
",A
77,"A: that effectively makes your model half as efficient.
      Because uh your uh Gaussian mixture model, right? computes the mean.
      Mm-hmm.
B: And - and uh i- i- i- but it's - the mean is an exponent
A: of the
      whatever, the - the - this
      You're  compressing  the  range,  right? of that -
B: Gaussian function.
A: So you're compressing the range of this coefficient, so it's becoming less efficient.
      Right?
      Mm-hmm.
B: So. So.
",B
78,"A: I - I think what you m-
B: I think what you mean  is that it's nonspeech segments that don't have impulsive noises.
      Yeah.
A: Right? Cuz you're calling - what you're calling ""event"" is somebody coughing
B: or clicking, or rustling paper, or hitting something, which are impulsive noises.
      Yeah.
A: But steady-state noises are part of the background.
B: Yeah.
",A
79,"A: you're gonna use them eventu- it's - you know, it's sort of a, um, generate and  test
B: Mm-hmm.  Mm-hmm.
      kind of thing, and if you  over-generate  then you'll have to do more. I mean, if there are  some  constraints that you hold back and don't use
A: uh, in your initial matching
      Mm-hmm.  Mm-hmm.
B: then you'll match some things - I mean, I - I d- I don't think there's any way that it could  completely  fail. It - it could be that
A: uh, you wind up - I mean -
      The original  bad  idea of purely context-free grammars
      died because  there were just  vastly  too many parses.
      You know,  exponentially  num- num- many parses. And so th- the  concern  might be that - not that it would  totally  fail, but that -
      Mm-hmm.
B: Mm-hmm.
      That it would  still  generate too many.
      it would still genera-
",B
80,"A: O_K.
B: But the bottom line is it's still not, uh, separating out very well. Right? O_K.
      Yeah. Yeah. The distribution - the distribution is - is similar.
A: So that's -
B: that's - that's enough then. O_K.
      Yeah.
A: No, I mean, that there's no point in going through all of that if that's the bottom line, really. So, I - I think we have to start -
B: Yeah. Yeah.
",A
81,"A: moment you provide the noise in n- neighboring critical bands.
      So the s- m- masking curve, normally it looks like sort of - I start from - from here, so you -
      you have uh  no  noise then you - you - you are expanding the critical band, so the amount of  maching  is increasing. And when you e- hit a certain point,
      which is a critical band, then the amount of masking is the same.
      Mmm.
B: So that's the famous experiment of Fletcher, a long time ago.
A: Like that's where people started thinking ""wow this is interesting!""
      Yeah.
B: So.  But,  if you - if you - if you  modulate  the noise, the masking goes up and the moment you start hitting the - another critical band, the masking goes down.
A: So essentially - essentially that's a very clear indication that - that -
      that  cognition can take uh
      uh into consideration what's happening in the neighboring bands.
      But if you go too  far  in a - in a - if you - if the noise is very  broad,  you are not increasing much more, so - so if you - if you are far away from the signal -
      Mm-hmm.
B: uh from the signal f- uh the  frequency  at which the  signal  is,
",B
82,"A: O_K? And then there's a language  generator,  and then after that a s- a synthesizer that
      goes from an X_M_L structure to,
      uh,  language  generation, to
      actual specifications for a  synthesizer.
      Right.
B: Eh, but again, there's  one  module in which there's  one
A: piece
      that we have to convert to English.
      Right.
B: Got it.
      Is that -
A: O_K. And that - But as I say, this is -
       all   along  was viewed as a kind of -
      a m- a minor thing,
       necessary,  but - but not -
      Right. Right. That's great!
B: O_K?
",B
83,"A: Mm-hmm.
B: I think it's kind of in category that it's, it - it may be complicated.
A: Yeah.
B: And uh it might be - if someone's  interested  in it, uh, certainly encourage anybody to look into it in the longer term,
A: once we get out of this particular rush  uh for results. But in the  short  term, unless you have some - some s- strong idea of what's wrong,
      Mm-hmm.
B: I don't know at all but
      uh -
",B
84,"A: Right.
      Mm-hmm.
      But - And French Telecom was saying ""no, no, no, there is a lot of little tricks which uh sort of uh cannot be protected and you guys will take them,""
B: which probably is also true. I mean,  you  know,
      it might be that people will take uh
      uh th- the algorithms apart and use the blocks from that. But I somehow think that it wouldn't be so bad, as long as people are happy abou- uh uh uh honest about it. And I think they have to be honest in the long run, because winning proposal again -
      Yeah.
A: uh what will be available th- is - will be a  code.  So the uh - the people can go to code and say ""well listen this is what you stole from me""  you know?
B: Mm-hmm.
A: Right.
      Right.
      ""so let's  deal  with that"". So I don't see the problem. The biggest problem of course is that f- that Alcatel French Telecom cl- claims ""well we fulfilled
B: the conditions. We are the best. Uh. We are the standard.""
      And e- and other people don't feel that, because they - so they now decided that - that - is - the whole thing will be done on well-endpointed data,
      essentially that somebody will endpoint the data based on clean speech, because most of this the SpeechDat-Car has the also close speaking mike and endpoints will be provided.
      Mm-hmm.
",A
85,"A: Mmm.
B: Uh, I mean, first place, there's still this thing to - to work out, and second place - second thing is that the only results that we have so far from before were really development set results.
A: Oh, O_K.
B: So, I think in this community that's of interest.
A: It's not like everything is being pinned on the evaluation set.
      But, um, for the development set, our best result was a little bit short of fifty percent.
      And the best result of any system was about fifty-four, where these numbers are the, uh, relative, uh, reduction in, uh, word error rate.
      Oh, O_K.
B: And, um, the other systems were, uh, somewhat lower than that.
",B
86,"A: that'd be weird, right?
B: Oh, O_K.
      Yeah.
A: O_K.
B: Or if X_two is greater than X_- I could imagine i- all  sorts  of garbage.
A: Alright, right.
B: And  so these - so this is - this is one collection of technology that we could bring to bear. Yeah.
",B
87,"A: O_K
B: So
      uh
      today
      we're looking at a
      number of uh
      things we're trying
      and uh
      fortunately for listeners to this uh
      we lost some of it's visual
      but um
      got tables in front of us.
      Um
      what is - what does combo mean?
      So combo is um
A: a system where we have these features
      that go through a network and then
      this same string of features but low-pass filtered with the low-pass filter used in
      the M_S_G features.
      And so these low-pass filtered
      goes through M_ eh - another M_L_P
      and then the linear output of these two M_L_P's are combined
      just by adding the values and then there is this K_L_T.
      Um
      the output is used as
      uh features as well.
      Um
B: so
      let me try to restate this and see if I have it right.
      There is uh -
      there is the features
      uh there's the O_G_I features
      and
      then um
      those
      features
      um
      go through a contextual - uh l- l- let's take this bottom arr-
      one pointed to by the bottom arrow.
      Um those features
      go through a contextualized K_L_T.
      Yeah.
A: Then
B: these features also
      uh get
      um low-pass filtered
      Yeah so
",A
88,"A: Be- before you get on the next part l- let me just point out that s- there's - there's a - a pretty nice
      Yeah.
B: relationship  between what  you're  talking about doing and what  you're  talking about doing there. Right? So,
A: it seems to me that, you know, if you take away the - the -  the difference of this
B: primary features,
A: and, say, you use - as we had talked about maybe  doing  - you use P_- RASTA-P_L_P or something for the - the primary features,
B: um, then this feature discovery,
",B
89,"A: Mm-hmm.
      Uh, I - yeah, I don't know if th- that's what they were trying to -
      Right.
B: They were trying to do something different like
A: taking, uh - well, using filter that takes only a past and
      this is just a little bit different. But I will- I will send him an email and tell him exactly what we are doing, so.
      Yeah, yeah. Um, I mean -
B: Um,
A: We just - we just have to be in contact more. I think that - the - the fact that we -
B: Mm-hmm.
",A
90,"A: O- oh, what's - what's the - what's the average
B: length?
      M- I - I haven't averaged it now but, uh  I - I will, uh
A: You don't know?
B: I will do the - the study of the -  with the - with the program with the - uh, the different, uh  the, nnn,  distribution of the duration of the overlaps.
A: O_K, you - you don- you don't have a feeling for roughly how  much it is? Yeah.
B: mmm,  Because the - the uh,  @@  is  @@ .
",A
91,"A: using the local
      characteristics in time, is probably going to work pretty well.
      Mm-hmm.
B: But you could get hurt a lot if you just took some- something from the beginning of all the speech, of, you know, an hour of speech and then later -
A: Yeah.
B: Uh, so they may be - you know, may be  overly,  uh, complicated for - for this test but -
A: but - but, uh,  I  don't know.
      But what you're saying, you know, makes sense, though. I mean, if possible you shouldn't -
      you should - you should make it, uh, the center of the - center of the window. But -
      uh, we're  already  having problems with these delay, uh -  delay issues. So, uh, we'll have to figure ways  without  it.
      Yeah, so.
B: Um,
",B
92,"A: Alright, and this one has three outputs,
      Mm-hmm.
B: and this one has f-
A: whatever, fifty-six, or something, if you were to sum up the probabilities for the voiced and for the unvoiced and for the silence  here,  we've found in the past you'll do  better  at voiced-unvoiced-silence than you do with  this  one.
      Mm-hmm.
B: So just  having  the three output thing doesn't - doesn't really  buy  you anything.
A: Yeah.
B: The issue is what you  feed  it.
",B
93,"A: So - so that's the other thing I wanted to  discuss,  is well what should we  do  for the user interface? We have
       two  tools that have already been written. Um the  SoftSound  guys did a  web-based  one,
      Mm-hmm.
B: um, which I haven't used, haven't looked at. Dan says it's pretty good
A: Mm-hmm.
B: but it  does  mean you need to be running a web server.
A: Mm-hmm.
B: And so it - it's pretty big and complex.
",A
94,"A: Yeah, in fact if y- if y- if you use the right verb for each
B: in common, like at- you know, ""attend a theater, symphony or opera"" is - is a group, and ""tour the university, castle or zoo"",
      mm-hmm
A: all of these d- do have this kind of ""tour""
B: um - aspect about the way you would go to them.
      Yeah.
A: And uh,
B: the movie theater is probably also
      uh - e- is a- ""attend""
      Attend, yeah.
",A
95,"A: And that - that seem- So it's kind of like a combination of the -
B: uh, what, uh, Dan has been calling, you know, a feature - uh, you know, a feature combination versus posterior combination or something. It's -
      it's, you know, you  have  the posterior combination but then you get the features from  that  and use them as a feature combination with these - these other things.
      And that seemed, at least in the  last  one, as he was just saying, he -
      he - when he  only  did discriminative stuff,
      Yeah.
A: i- it actually was - was - it didn't help at  all  in this particular case. There was enough of a difference, I guess, between the
B: testing and training.
      But by having  them    both  there - The fact is  some  of the time,
      the discriminative stuff is gonna  help  you.
      Mm-hmm.
A: And  some  of the time it's going to  hurt  you, and by combining two information sources if, you know - if - if -
B: Right.
",A
96,"A: almost  as good as a result as using T_I- digits
B: on a T_I-digits  test.
      O_K?
      Hmm?
A: Um  and  um
B: But,
       when you add in more training data but keep the neural net the same size,
       it  um performs worse on the T_I-digits.
       O_K, now all of this is -
       This is  noisy   T_I-digits, I assume?
      Yep.
A: Both training and test?
B: Yeah.  O_K.
      Um
      O_K.
      Well.
       We - we - we may just need to uh -
      So I mean it's interesting that h- going to a different -
      different  task  didn't seem to  hurt  us that much, and going to a different  language
      um
      It doesn't seem to matter -
       The difference between  three  and  four  is not particularly great, so that means that
       whether you have the  language  in or  not  is not such a big deal.
      Mmm.
",A
97,"A: a  module,  if you wanna call it that, that you can ask,
B: that you can give input and it- it'll uh throw the dice for you,
      uh throw the die for you,  because um
      I integrated this into the  existing  SmartKom system in - in the same way as
      much the same way we can um
      sort of have this uh -
       this  thing.
      Close this down.
      So if this is what M_-three-L_ um
      will  look  like and what it'll  give  us,
      um - And a very simple thing. We have an action that he wants to go from somewhere, which is some type of object, to someplace.
      Mm-hmm.
A: And this - these uh - this changed now  only  um,
B: um -
      It's doing it twice now because it already did it once.
      Um, we'll add some action type, which in this case is ""Approach""
      Mm-hmm.
A: Good.
      and could be, you know, more refined uh
B: in many ways. Or we can uh
      have something where the uh
      goal is a public place
      and it will give us then of course an action type of the type ""Enter"".
      So this is just based on this one -
      um,
      on this one feature,
      and that's - that's about all you can do.
      And so in the f- if this pla- if the object type
      um here is - is a m- is a landmark,
      of course it'll be um ""Vista"".
      And um
      this is about as much as we can  do
      if we don't w- if we want to avoid uh uh a huge combinatorial explosion where we specify
      ""O_K, if it's  this  and  this  but  that  is not the case"", and so forth, it just gets really really messy.
      O_K, I'm sorry. You're - you're -
",B
98,"A: this is why we - we started to look  by having
B: Well, that's the rea- w- w- what I'm arguing is that's-
A: sort of voiced
B: Yeah. I mean, uh, what I'm arguing is that that - that's givi- you - gives you your intuition.
A: phonemes and -
B: But in - in reality, it's - you know, there's all of this - this overlap and so forth,
",B
99,"A: work very well if the S_N_R is very bad.
      It's -
      I see.
B: it works very poorly with the poor S_N_R conditions, and in colored noise.
A: So essentially you could do simple spectral subtraction, followed by a K_L transform, followed by a
B: Wiener filtering.
A: Wiener filter.
B: It's a - it's a cascade of two s-
",A
100,"A: things from the transcript, it's unlikely.
      Since it - it does- isn't attributed.
      Oh,  I  see, but the a- but the - but the -
      Right, so if I said, ""Oh, hi Jerry, how are you?"", we're not gonna go through and cancel out the ""Jerry""s.
B: Yeah.
A: Sure.
      Um, so we  will  go through and, in the speaker I_D tags there'll be, you know, M_one O_ seven, M_one O_ eight.
B: Right.
A: Right.
      Um, but uh,
B: um, it w- uh, I don't know a good way of doing it on the  audio,  and still have people who are doing  discourse  research be able to use the data.
      O_K.
",B
101,"A: Uh, probably the neural net cuz it's probably - it - it's -
       it's um -
       Well, I - I don't know.
       They both -
       H_T_K we use for
       um
       this Aurora stuff
       Um
       Um, I think
       It's not  clear  yet what we're gonna use
       for trainings uh -
       Well,
       there's the trainings uh - is it the  training  that takes the time, or the  decoding?
       Uh, is it about equal  between the two?
       For - for Aurora?
      For H_T_K?
B: For - Yeah. For the Aurora?
A: Uh
B: Training  is longer.
      O_K.
A: Yeah.
B: O_K.
",B
102,"A: And - Not all of - No it's actually, digits is only a maybe a fifth of it. The rest is - is read - is read TIMIT data and uh ATIS data and Wall Street Journal and stuff like that.
B: A fifth of it is how much?
A: Right. But a fi- a fifth is how much?
B: A fifth would be maybe
      uh two hours something.
      Yeah, so I mean that's actually not that different from the  amount of training that there was. So.
A: Right.
B: But it definitely helps to have the  other  read data in there  because we're doing -
      Oh yeah  w-
",B
103,"A: See I was wondering cuz we st- we have these ten hours of other stuff that is not yet transcribed. Do you -
B: Yeah.
A: Yeah.
      The - the transcription by Jane, t- eh i- eh,
      I - I - I want to use to - to nnn,  eh
      to put - i- i- it's a reference for me.
      But eh the transcription -
      eh for example, I - I don't - I - I'm not interested in the - in the - in the words,
      transcription words, eh
      transcribed eh eh in -
      eh follow in the -  in the - in the speech file,
      but eh eh Jane eh for example eh put a mark eh at the beginning eh of each eh talker,
      in the - in the meeting,
      um eh she - she nnn includes information
      about the zone where eh there are eh - there is an overlapping zone.
      Mm-hmm.
B: But eh there isn't any - any mark,
A: time - temporal mark,
      to - to c- eh - to mmm  - e-heh, to label
      O_K.
B: the beginning and the end of the - of the ta-
",A
104,"A: And - breath, you know, everyone breathes, they breathe all the time. And once in a while breath is communicative, but
B: r- very rarely. O_K, so now, I had a discussion with Chuck about the data structure and the idea is that
      Mm-hmm.
A: the transcripts will - that - get stored as a master- there'll be a master transcript which has in it everything that's needed for  both  of these uses.
B: Mm-hmm.
A: And the one that's used for speech recognition will be processed via scripts. You know, like, Don's been writing scripts and - and,
B: Mm-hmm.
",B
105,"A: So -
B: So - but you see, now, between - between the males
A: and the females, there's certainly a much bigger
      difference in the scaling
      range,
      than there is, say, just within the males.
      And what you were using before was scaling factors that were just from the - the m- the  S_R_I front-end.
      And that worked - that worked fine.
      That's true.
B: Yeah.
      Uh,
A: but now you're looking over a larger range and it may not be so fine.
      Well, um -
B: So -
      I just -
      d- so the one thing that I then tried was to
      put in the low-pass filter,
      which we have in the -
      So, most -
      most
      Hub-five systems actually
      band-limit the -
      uh, at about,
      uh, thirty-seven hundred,
      Uh-huh.
",B
106,"A: and
B: you told me that there was a difference in how the normalization was done.
      And I was asking if you were going to do -
      redo it
      Mm-hmm.
A: uh for P_L_P with the normalization done as it had been done for the mel cepstrum.
B: Uh
A: right, no I haven't had a chance to do that.
      What I've been  doing  is
      O_K.
B: uh
",A
107,"A: Mm-hmm.
B: Yeah.
      as  you  say, it's more fine-structure-based than - than envelope-based  uh so then it you - you - you can pretty much guarantee it's stuff that you're not looking at very  well  with the other one,  and uh then you  only  use for this one distinction.
A: Mm-hmm.
B: Alright.
      And - and so now you've got a probability of the cases,  and you've got uh the probability of the  finer  uh categories on the other side. You multiply them where appropriate and uh  um
A: I see, yeah. Mm-hmm.
B: if they really are from independent  information sources then  they should have different kinds of errors and roughly  independent  errors, and  it's a good choice for -
",B
108,"A: Can you give an example of an event?
      Yeah. Sure. Um, I - I can give you  an  example of  twenty-odd events.
B: Um -
      So, he- In this paper, um,  it's  talking about phoneme recognition using acoustic events.
      So, things like frication
      or, uh, nasality.
      Whose paper is it?
A: Um, this is a
B: paper by Hubener and Cardson  Benson - Bernds- Berndsen.
      Yeah.
A: Huh.
      From, uh,
      University of Hamburg and
      Bielefeld.
      Mm-hmm.
B: O_K.
",B
109,"A: our V_A_D was not very  good.
B: Well, I guess - I mean, one could imagine
A: combining them in different ways. But - but,
      I guess what you're saying is that the - the M_L_P-based one has the spectral information.
      Yeah.
B: So.
A: But -
B: Yeah. But the way it's combined wi- is maybe done - Well,  yeah .
       Well, you can imagine -
",B
110,"A: And, um,
      if you have,
      um -
      f- the distribution that you have from,
        Mm-hmm.
B: uh, f- speech sounds
A: is w-  sort of  one  source of knowledge. And this is -
      and rather than just taking one minus that to get the  other,
      which is essentially what's happening,  you have this  other
      source of knowledge that you're putting  in  there. So you make use of  both  of them
      in - in  what you're ending up with.
      Maybe it's better.
      Yeah.
B: Anyway,
A: you can probably justify anything if  what's use- Yeah.
      Yeah.
B: And - and the features are different also. I mean,
      the V_A_D doesn't use the same features there  are .
      Mm-hmm.
",B
111,"A: So, um, if you looked -
B: if you were doing some coarse clustering, you probably would put those two  sounds  together.
A: And yet, I would gue- I would guess that many of your recognition errors were coming from, uh, um, pfft,
      screwing up on this distinction.
       Mm-hmm.
B: So, in fact, it's a little hard because recognizers, to first order,  sort  of work.
A: And the reasons we're doing the things we're doing is because they don't work as  well  as we'd like.
      And since they  sort  of  work,
      uh, it means that they are already doing - if you go and take
      any recognizer that's already out there and you say, ""how well is it distinguishing between  schwas and stops?""
      Mm-hmm.
B: Boy, I bet they're all doing
",B
112,"A: that  we have uh, for the -
      uh, the quote-unquote  noisy  data there is just -
      noisy and  reverberant  actually. It's the far field mike.
      And uh, we have
      uh,
      the  digits  that we do at the end of these things. And that's what most o- again, most of our work has been done with that, with - with uh, connected digits.
      Uh-huh.
B: Um,
A: but uh, we have recognition now
      with some of the continuous speech,
      large vocabulary continuous speech, using Switchboard - uh, Switchboard recognizer,
      Yeah.
B: O_K.
      uh, no training,  from this, just - just plain using the Switchboard.
A: Oh. You just take the Switchboard trained - ? Yeah, yeah.
B: That's - that's what we're doing, yeah. Now there are some adaptation though, that - that uh, Andreas has been playing with, but we're hop- uh, actually uh, Dave and I were just talking earlier today about maybe at some point not that distant future, trying some of the techniques
",B
113,"A: Before we get more into details.
B: The organization is going to be that
      uh the flavor of what's going on
      is going to be that
      uh as we s- e- sort of going to this detail
      indeed Keith is going to - to worry about the various constructions that people might use
      Mm-hmm.
A: and Johno has committed himself to being the parser wizard, so
B: Alright.
A: what's going to happen is
B: that
      eventually
      like by the time he graduates, O_K
",A
114,"A: For  Aurora?
      Yeah.
B: Oh!
A: Yeah, so the uh -
B: Uh,
      the issue is whether people make a decision  now  based on what they've already seen, or they make it  later.  And one of the arguments for making it  later  is let's make sure
      that whatever techniques that we're using work for something more than - than connected digits.
      Hmm.
A: So.
B: When are they planning -
",A
115,"A: When you get the mel -
B: When you go to the mel scale.
      Right.
A: Yeah, it's bark scale, and it's - it -
      it um -
      it actually  copies
      the uh um -
      the second
      filters over to the first. So the first filters are always - and you can s- you can specify a different number of
      uh  features  - different number of  filters,  I think,
      as I recall.
      So you can specify a different number of filters, and whatever
      um
      uh you  specify,  the  last  ones are gonna be  ignored.  So that - that's a way that you sort of
      change what the - what the bandwidth is.
      Y- you can't do it without I think changing the number of filters, but -
      I saw something about uh -
B: that looked like it was doing something like that, but I didn't quite understand it.
      So maybe -
      Yeah, so the idea is that the very lowest frequencies and - and typically the veriest  highest frequencies are kind of junk.
A: Uh-huh.
B: And so um you just - for continuity you just approximate them by -
",B
116,"A: Right? I was just saying that w-  now  we're  looking  at it.
B: it's -
A: um
      And - and - and, you - you maybe  wanted  to look at it before but, for these various technical reasons in terms of how the  data  was you  weren't.
B: Well, we've als-
A: Right. We're  looking  at it  here.
B: So that's why it's coming to us as  new
       even though it may well  be
       you know, if your - if your hypothes- The hypothesis you were offering
      Um.
",A
117,"A: You  might.
      Yeah.
B: You might.
A: You might be able to - to uh
      say that this i- this is the  kind  of construction
      in which the -
      there's - Let's say there's a uh cont-
      there - the - the land-
      the construction  implies  the there's a con- this thing is being viewed as a  container.
      Mmm.
B: O_K.
A: So just from this local construction
      you know that you're gonna  hafta  treat it as a container you might as well go off and get that information. And that may effect the way you process everything else.
      So if you say ""how do I get  into  the castle""
      O_K,
       Right.
B: then um -
",B
118,"A: Sure, but when we think about the  weighting,  which is point five, point three, point two,
B: it's on absolute
      on - on  relative  figures,
      not -
      Yeah. Yeah.
A: So when we look at this error rate
B: No. That's why I've been  saying  we should be looking at word error rate uh and - and not - not at  at accuracies. It's -
A: uh -
B: Mmm, yeah.
      Mmm, yeah.
      Mm-hmm.
      I mean uh we probably should have standardized on that all the way through. It's just -
",B
119,"A: What about Harry? Uh.
B: We received a mail last week and you are starting
A: He got the - he got the software. Yeah. They sent the release. Yeah. Yeah. Yeah.
B: to - to do some experiments.
A: And use this Intel
      version.
      Yeah.
B: Hmm.
",A
120,"A: You're talking about the meeting with Hynek?
B: So.
A: Yeah. Cuz that was sort of, uh - we - we'd sort of been working up to that,
      that - that, uh, he would come here this week and -
      Uh-huh.
B: and we would sort of -
A: Since he's going out of town
      like  now,  and I'm going out town in a couple weeks,
      uh,
      and time is marching, sort of,
      given all the mu- many wonderful things we could be working on, what - what will we actually focus on?
      Mm-hmm.
B: And, uh -
",B
121,"A: uh, that wouldn't work. Because your model was trained expecting a certain var- variance on C_one.
      Uh-huh.
B: And because the model thinks C_one is important.
A: After  you train the model,
      you sort of -
      y- you could do - you could do still what I was proposing initially,
      that during the training you - you compress C_one
      Mm-hmm.
B: that becomes - then it becomes less important
A: in a training.
      But if you have - if you want to run e- ex- extensive experiment without retraining the model, you don't have to retrain the model. You train it on the original vector.
      But after, you - wh- when you are doing this parametric study of importance of C_one
      you will
       de-weight
      the C_one component in the model,
      and you will put in the - you will compress
      the - this component in a - in the test data.
B: Could you also if you wanted to -
      s- by the same amount.
",B
